#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
166,"Arabella","Arctic Monkeys",71,180,"indie, garage rock","AM",2013-09-09,03:27,58,56,2,0,51,0,20,-7,D Major,4,2024-01-02,7nzsY8vlnKdvGOEE0rjAXZ,"undefined",10B,GBCEL1300365
167,"Snap Out Of It","Arctic Monkeys",74,130,"indie, garage rock","AM",2013-09-09,03:13,73,64,25,0,87,0,10,-6,F Minor,4,2024-01-02,0NdTUS4UiNYCNn5FgVqKQY,"undefined",4A,GBCEL1300371
168,"R U Mine?","Arctic Monkeys",76,97,"indie, garage rock","AM",2013-09-09,03:21,29,76,1,0,62,0,30,-6,F#/G♭ Minor,4,2024-01-02,2AT8iROs4FQueDv2c8q2KE,"undefined",11A,GBCEL1300363
169,"Bad Romance","Lady Gaga",79,119,"art pop, pop","The Fame Monster (Deluxe Edition)",2009-11-05,04:54,70,92,0,0,71,0,0,-4,C Major,4,2024-01-02,0SiywuOBRcynK0uKGWdCnn,"undefined",8B,USUM70918596
170,"Poker Face","Lady Gaga",79,119,"art pop, pop","The Fame",2008-01-01,03:57,85,81,12,0,77,0,10,-5,E Major,4,2024-01-02,1QV6tiMFM6fSOKOGLMHYYg,"undefined",12B,USUM70824409
171,"The Ketchup Song (Aserejé) - Spanglish Version","Las Ketchup",62,185,"","Hijas del Tomate",2002-00-00,03:33,61,92,2,0,87,0,0,-7,C♯/D♭ Major,4,2024-01-02,6UEfyhyfhYQsyipxOd95Ie,"undefined",3B,ES5110204224
172,"YMCA","Village People",64,126,"disco","Can't Stop the Music (Original Soundtrack 1980)",1980-00-00,03:22,74,70,19,0,84,0,10,-8,F#/G♭ Major,3,2024-01-02,3ypMsqUwfNFMiooMLVHfkp,"undefined",2B,FR22F8000020
173,"What About Us","P!nk",70,114,"","Beautiful Trauma",2017-10-13,04:29,49,59,3,0,19,0,0,-6,C♯/D♭ Major,4,2024-01-02,0Qh38w01QRXK6KHIv0e3hb,"undefined",3B,USRC11701586
174,"Somewhere Only We Know","Keane",80,172,"","Hopes And Fears",2004-05-10,03:57,45,67,6,0,30,0,0,-4,A Major,4,2024-01-02,1SKPmfSYaPsETbRHaiA18G,"undefined",11B,GBAAN0300664
175,"Movement","Hozier",62,144,"","Wasteland, Baby!",2019-03-01,03:57,38,50,16,0,15,0,0,-6,C♯/D♭ Minor,4,2024-01-02,0SFq19lgG4qbQAZaNZ3xhO,"undefined",12A,IEACJ1800083
176,"Eat Your Young","Hozier",61,90,"","Unreal Unearth",2023-08-18,04:03,55,60,36,7,32,0,20,-6,G Minor,4,2024-01-02,3hbKcj640iYmPQgecainOr,"undefined",6A,IEACJ2300020
177,"Someone New","Hozier",69,184,"","Hozier",2014-09-19,03:42,44,54,41,0,59,0,20,-6,G Major,4,2024-01-02,22sS7JkzeVeq4vOPCB6Fbj,"undefined",9B,IEACJ1400143
178,"Like Real People Do","Hozier",65,70,"","Hozier",2014-09-19,03:18,57,18,91,38,13,0,10,-14,G Major,3,2024-01-02,4LGJ2pLDvTRnul3EcZoYkX,"undefined",9B,IEACJ1400147
179,"Another One Bites The Dust - Remastered 2011","Queen",76,110,"rock clasic, rock, glam rock","The Game (2011 Remaster)",1980-06-27,03:34,93,53,11,31,75,10,10,-6,F Minor,4,2024-01-02,5vdp5UmvTsnMEMESIF2Ym7,"undefined",4A,GBUM71029605
180,"Don't Stop Me Now - Remastered 2011","Queen",77,156,"rock clasic, rock, glam rock","Jazz (2011 Remaster)",1978-11-10,03:29,56,87,5,0,61,10,70,-5,F Major,4,2024-01-02,5T8EDUDqKcs6OSOwEsfqG7,"undefined",7B,GBUM71029610
181,"Hotel California - 2013 Remaster","Eagles",79,147,"rock clasic, soft rock","Hotel California (2013 Remaster)",1976-12-08,06:31,58,51,1,0,61,0,0,-9,D Major,4,2024-01-02,40riOy7x9W7GXjyGp4pjAv,"undefined",10B,USEE11300353
182,"The Winner Takes It All","ABBA",72,126,"","Super Trouper",1980-00-00,04:54,45,79,57,0,52,0,0,-7,F#/G♭ Major,4,2024-01-02,3oEkrIfXfSh9zGnE7eBzSV,"undefined",2B,SEAYD8001020
183,"Starman - 2012 Remaster","David Bowie",72,100,"glam rock, art rock","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)",1972-06-06,04:14,49,45,17,0,55,0,50,-10,F Major,4,2024-01-02,0pQskrTITgmCMyr85tb9qq,"undefined",7B,USJT11200004
184,"Killer Queen - Remastered 2011","Queen",68,117,"rock clasic, rock, glam rock","Sheer Heart Attack (Deluxe Edition 2011 Remaster)",1974-11-08,02:59,54,65,39,0,61,0,10,-6,A#/B♭ Major,4,2024-01-02,4cIPLtg1avt2Jm3ne9S1zy,"undefined",6B,GBUM71029606
185,"Daddy Cool","Boney M.",69,124,"disco","Take The Heat Off Me",1976-00-00,03:28,76,78,28,79,93,0,10,-7,F Minor,4,2024-01-02,3WMbD1OyfKuwWDWMNbPQ4g,"undefined",4A,DEC737600002
186,"The Chain - 2004 Remaster","Fleetwood Mac",78,152,"rock clasic, soft rock","Rumours (Super Deluxe)",1977-02-04,04:30,55,67,1,0,48,0,0,-9,A Major,4,2024-01-02,5e9TFTbltYBg2xThimr0rU,"undefined",11B,USWB11301116
187,"Lemon Tree","Fools Garden",71,143,"","Dish of the Day",1995-01-01,03:11,66,48,64,0,64,0,10,-9,C♯/D♭ Major,4,2024-01-02,2epbL7s3RFV81K5UhTgZje,"undefined",3B,DEAF70927221
188,"Somebody Told Me","The Killers",76,138,"rock alternativ","Hot Fuss",2004-00-00,03:17,50,97,0,0,69,0,10,-5,A#/B♭ Minor,4,2024-01-02,6PwjJ58I4t7Mae9xfZ9l9v,"undefined",3A,USIR20400195
189,"Roxanne","The Police",74,134,"","Outlandos D'Amour (Remastered 2003)",1978-11-02,03:11,62,75,4,0,66,30,0,-9,C Major,4,2024-01-02,3EYOJ48Et32uATr9ZmLnAo,"undefined",8B,GBAAM0201086
190,"Message In A Bottle","The Police",73,151,"","Reggatta De Blanc (Remastered 2003)",1979-10-02,04:50,58,81,3,0,87,0,20,-7,C♯/D♭ Minor,4,2024-01-02,1oYYd2gnWZYrt89EBXdFiO,"undefined",12A,GBAAM0201170
191,"Here Comes The Sun - Remastered 2009","The Beatles",78,129,"rock clasic, rock psihedelic","Abbey Road (Remastered)",1969-09-26,03:05,56,54,3,0,39,0,10,-10,A Major,4,2024-01-02,6dGnYIeXmHdcikdzNNDMm2,"undefined",11B,GBAYE0601696
192,"How You Remind Me","Nickelback",80,172,"post-grunge, rock","Silver Side Up",2001-09-11,03:43,45,76,0,0,54,0,10,-5,A#/B♭ Major,4,2024-01-02,0gmbgwZ8iqyMPmXefof8Yf,"undefined",6B,NLA320119533
193,"Back In Black","AC/DC",79,188,"rock, hard rock, rock clasic, rock and roll","Back In Black",1980-07-25,04:15,31,70,1,1,76,0,0,-6,A Major,4,2024-01-02,08mG3Y1vljYA6bvDt4Wqkj,"undefined",11B,AUAP08000046
194,"Lay All Your Love On Me","ABBA",73,133,"","Super Trouper",1980-00-00,04:34,68,73,12,0,71,0,30,-8,D Minor,4,2024-01-02,4euAGZTszWPrriggYK0HG9,"undefined",7A,SEAYD8001090
